Combined L1 Data for 2024-05-06 (Despiked, Unpropagated) (GSM nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T nSat satUsed
#START
2024  5  6  2 48  0   0    -4.78    10.70     7.66   -373.47    -18.33    -13.92    7.8181    93923.0  3  0
2024  5  6  2 49  0   0    -4.85    11.19     6.94   -372.72    -18.61    -16.46    7.4400    79092.0  3  0
2024  5  6  2 50  0   0    -4.44    11.42     6.74   -372.25    -24.71    -14.67    7.7800    60840.0  2  1
2024  5  6  2 51  0   0    -4.37    11.45     6.41   -371.77    -20.00    -14.80    7.6004    79092.0  3  0
2024  5  6  2 52  0   0    -4.19    11.26     6.25   -371.45    -19.20    -14.10    7.5519    97387.0  3  0
2024  5  6  2 53  0   0    -3.83    10.87     6.58   -370.97    -25.90    -24.14    7.5033    84899.0  3  0
2024  5  6  2 54  0   0    -6.60    10.88     6.64   -371.07    -17.71    -27.05    6.9800    81879.0  3  0
2024  5  6  2 55  0   0    -6.38    11.15     6.58   -374.30    -17.82    -25.19    7.7500   100970.0  3  0
2024  5  6  2 56  0   0    -5.34    11.33     6.22   -372.65    -21.11    -17.44    8.2000    99597.1  3  0
2024  5  6  2 57  0   0    -4.90    11.73     6.07   -370.36    -21.86    -15.82    8.1200    76613.2  3  0
2024  5  6  2 58  0   0    -3.63    11.87     6.24   -368.54    -22.60    -23.10    8.0900    72857.0  3  0
2024  5  6  2 59  0   0    -4.15    11.92     6.19   -370.65    -23.09    -18.07    8.2300    69980.0  3  0
2024  5  6  3  0  0   0    -4.46    12.05     5.84   -370.17    -23.57    -15.40    8.0100    72424.0  3  0
2024  5  6  3  1  0   0    -4.79    11.82     5.85   -367.10    -24.03    -14.80    8.9961    75019.0  3  0
2024  5  6  3  2  0   0    -4.96    12.26     5.92   -370.00    -25.42    -19.65    8.0600    65443.0  3  0
2024  5  6  3  3  0   0    -4.66    12.48     5.47   -372.98    -26.82    -18.00    8.4600    65298.0  3  0
